t (ms), vlv (ml), plv (mmHg), part (mmHg)
4.309145302585154127e+02,4.988000000000000256e+01,5.813980420626525536e+00,9.131325443854760238e+01
4.341342348506191229e+02,4.992999999999999972e+01,4.851797122066239254e+00,9.121930413573967655e+01
4.373432070940824019e+02,4.999000000000000199e+01,3.892821101167844855e+00,9.112566700060779112e+01
4.405521793375457946e+02,5.006000000000000227e+01,2.933845080269416705e+00,9.103202986547589148e+01
4.437611515810091305e+02,5.015999999999999659e+01,2.456312899209419420e+00,9.092740555305816486e+01
4.469701238244724095e+02,5.027000000000000313e+01,2.021965553899674362e+00,9.082179570628071019e+01
4.501790960679356886e+02,5.039999999999999858e+01,1.587618208589929081e+00,9.071618585950324132e+01
4.533880683113990813e+02,5.054999999999999716e+01,1.153270863280168701e+00,9.061057601272577244e+01
4.565970405548624171e+02,5.071999999999999886e+01,7.189235179704156486e-01,9.050496616594831778e+01
4.598060127983256962e+02,5.090999999999999659e+01,5.855951074372023335e-01,9.039007757541629928e+01
4.630149850417890889e+02,5.111999999999999744e+01,5.139607855433361294e-01,9.027328729840041888e+01
4.662239572852524248e+02,5.135999999999999943e+01,4.423264636494710356e-01,9.015649702138453847e+01
4.694329295287157038e+02,5.161999999999999744e+01,3.706921417556073295e-01,9.003970674436865806e+01
4.726419017721790397e+02,5.189999999999999858e+01,2.990578198617423467e-01,8.992291646735276345e+01
4.758508740156424324e+02,5.221000000000000085e+01,3.764420093713889415e-01,8.979841679418517231e+01
4.790598462591057114e+02,5.253999999999999915e+01,5.056050579344423257e-01,8.967123836833803807e+01
4.822688185025690473e+02,5.289999999999999858e+01,6.347681064974980414e-01,8.954405994249088963e+01
4.854777907460323263e+02,5.328000000000000114e+01,7.639311550605514256e-01,8.941688151664374118e+01
4.886867629894957190e+02,5.367999999999999972e+01,8.930942036236094728e-01,8.928970309079659273e+01
4.918957352329589980e+02,5.410999999999999943e+01,1.048599625666012836e+00,8.915624552661373059e+01
4.951047074764223908e+02,5.457000000000000028e+01,1.218019484217391257e+00,8.901947122744597607e+01
4.983136797198857266e+02,5.506000000000000227e+01,1.387439342768766570e+00,8.888269692827823576e+01
5.015226519633490057e+02,5.557999999999999829e+01,1.556859201320138997e+00,8.874592262911049545e+01
5.047316242068123415e+02,5.613000000000000256e+01,1.726279059871514310e+00,8.860914832994275514e+01
5.079405964502756206e+02,5.671000000000000085e+01,1.865812386626246377e+00,8.846738607093003282e+01
5.111495686937390133e+02,5.732999999999999829e+01,1.982483482088260862e+00,8.832180818377985076e+01
5.143692732858426098e+02,5.799000000000000199e+01,2.099544781882919153e+00,8.817574341406394467e+01
5.175782455293060593e+02,5.868999999999999773e+01,2.216215877344935858e+00,8.803016552691374841e+01
5.207872177727693952e+02,5.940999999999999659e+01,2.332886972806948123e+00,8.788458763976356636e+01
5.239961900162327311e+02,6.015999999999999659e+01,2.426044889443041086e+00,8.773514708624794878e+01
5.272051622596959533e+02,6.092000000000000171e+01,2.493948785007783275e+00,8.758155788662598695e+01
5.304141345031592891e+02,6.168999999999999773e+01,2.561852680572527685e+00,8.742796868700402513e+01
5.336231067466226250e+02,6.246000000000000085e+01,2.629756576137272539e+00,8.727437948738204909e+01
5.368320789900859609e+02,6.322999999999999687e+01,2.697660471702017393e+00,8.712079028776008727e+01
5.400410512335492967e+02,6.399000000000000199e+01,2.750865246867580272e+00,8.696435407612243296e+01
5.432500234770126326e+02,6.471999999999999886e+01,2.781497291734255306e+00,8.680354584543583485e+01
5.464589957204759685e+02,6.543999999999999773e+01,2.812129336600929896e+00,8.664273761474925095e+01
5.496679679639391907e+02,6.614000000000000057e+01,2.842761381467603599e+00,8.648192938406266705e+01
5.528769402074026402e+02,6.681999999999999318e+01,2.873393426334279521e+00,8.632112115337606895e+01
5.560859124508659761e+02,6.748000000000000398e+01,2.896122387341020676e+00,8.615834247849245742e+01
5.592948846943291983e+02,6.812999999999999545e+01,2.900977931101923257e+00,8.599110749618290583e+01
5.625038569377926478e+02,6.875000000000000000e+01,2.905833474862825838e+00,8.582387251387335425e+01
5.657128291812558700e+02,6.934999999999999432e+01,2.910689018623728419e+00,8.565663753156380267e+01
5.689218014247193196e+02,6.993999999999999773e+01,2.915544562384631000e+00,8.548940254925423687e+01
5.721307736681825418e+02,7.050000000000000000e+01,2.917275036790836218e+00,8.532093460541304353e+01
5.753397459116458776e+02,7.104000000000000625e+01,2.907849429234814043e+00,8.514806515288768196e+01
5.785487181551093272e+02,7.156000000000000227e+01,2.898423821678791867e+00,8.497519570036230618e+01
5.817576903985726631e+02,7.206000000000000227e+01,2.888998214122769692e+00,8.480232624783694462e+01
5.849666626420358853e+02,7.253000000000000114e+01,2.879572606566747961e+00,8.462945679531159726e+01
5.881756348854992211e+02,7.298000000000000398e+01,2.869778028136371617e+00,8.445595277747635521e+01
5.913846071289626707e+02,7.340999999999999659e+01,2.857536905674103789e+00,8.427824113221134894e+01
5.946043117210663240e+02,7.381000000000000227e+01,2.845254843002932521e+00,8.409993513361769146e+01
5.978132839645295462e+02,7.420000000000000284e+01,2.833013720540665581e+00,8.392222348835269941e+01
6.010222562079928821e+02,7.456000000000000227e+01,2.820772598078398197e+00,8.374451184308769314e+01
6.042312284514562180e+02,7.490000000000000568e+01,2.808804288703487195e+00,8.356661139881238398e+01
6.074402006949195538e+02,7.520999999999999375e+01,2.802415256314948255e+00,8.338484984221487650e+01
6.106491729383828897e+02,7.550000000000000000e+01,2.796026223926408871e+00,8.320308828561738324e+01
6.138581451818462256e+02,7.576000000000000512e+01,2.789637191537869487e+00,8.302132672901988997e+01
6.170671174253095614e+02,7.601000000000000512e+01,2.783248159149330103e+00,8.283956517242238249e+01
6.202760896687727836e+02,7.623999999999999488e+01,2.776859126760791163e+00,8.265780361582488922e+01
6.234850619122362332e+02,7.645999999999999375e+01,2.779539116448518588e+00,8.247291850528742430e+01
6.266940341556994554e+02,7.668000000000000682e+01,2.782608386454288318e+00,8.228789931876460173e+01
6.299030063991629049e+02,7.690999999999999659e+01,2.785677656460058049e+00,8.210288013224176495e+01
6.331119786426262408e+02,7.714000000000000057e+01,2.788746926465827336e+00,8.191786094571894239e+01
6.363209508860894630e+02,7.737999999999999545e+01,2.791816196471597067e+00,8.173284175919611982e+01
6.395299231295529125e+02,7.764000000000000057e+01,2.805800780356698443e+00,8.154567508407146192e+01
6.427388953730161347e+02,7.793000000000000682e+01,2.821401021300808942e+00,8.135819054313398624e+01
6.459478676164794706e+02,7.823000000000000398e+01,2.837001262244919886e+00,8.117070600219649634e+01
6.491568398599428065e+02,7.854000000000000625e+01,2.852601503189031273e+00,8.098322146125900645e+01
6.523658121034062560e+02,7.887000000000000455e+01,2.868201744133142661e+00,8.079573692032151655e+01
6.555747843468694782e+02,7.920999999999999375e+01,2.896024179430197520e+00,8.060694187584570614e+01
6.587837565903328141e+02,7.956999999999999318e+01,2.927228058873934557e+00,8.041778426190070661e+01
6.619927288337962636e+02,7.993999999999999773e+01,2.958431938317672483e+00,8.022862664795569287e+01
6.652017010772593721e+02,8.031999999999999318e+01,2.989635817761407299e+00,8.003946903401070756e+01
6.684106733207228217e+02,8.070999999999999375e+01,3.020839697205145669e+00,7.985031142006570803e+01
6.716196455641861576e+02,8.110999999999999943e+01,3.065033241771804917e+00,7.966054120308447750e+01
6.748393501562898109e+02,8.151999999999999602e+01,3.115080251625379493e+00,7.946986721955953215e+01
6.780483223997531468e+02,8.195000000000000284e+01,3.164960438112776053e+00,7.927982881597966980e+01
6.812572946432163690e+02,8.239000000000000057e+01,3.214840624600170393e+00,7.908979041239980745e+01
6.844662668866798185e+02,8.282999999999999829e+01,3.264720811087568730e+00,7.889975200881994510e+01
6.876752391301431544e+02,8.326999999999999602e+01,3.327891461596654388e+00,7.870965951562055807e+01
6.908842113736063766e+02,8.370000000000000284e+01,3.399520623082090243e+00,7.851953259791650908e+01
6.940931836170698261e+02,8.412000000000000455e+01,3.471149784567530983e+00,7.832940568021246008e+01
6.973021558605330483e+02,8.451000000000000512e+01,3.542778946052966837e+00,7.813927876250842530e+01
7.005111281039964979e+02,8.487999999999999545e+01,3.614408107538408021e+00,7.794915184480437631e+01
7.037201003474597201e+02,8.521999999999999886e+01,3.699026659128487271e+00,7.775939321384603886e+01
7.069290725909230559e+02,8.553000000000000114e+01,3.795477463959452180e+00,7.756997006145945761e+01
7.101380448343865055e+02,8.581000000000000227e+01,3.891928268790420198e+00,7.738054690907287636e+01
7.133470170778497277e+02,8.606000000000000227e+01,3.988379073621381554e+00,7.719112375668630932e+01
7.165559893213130636e+02,8.629000000000000625e+01,4.084829878452346463e+00,7.700170060429974228e+01
7.197649615647763994e+02,8.648999999999999488e+01,4.193429588688928789e+00,7.681292903200882449e+01
7.229739338082398490e+02,8.667000000000000171e+01,4.317774704623258408e+00,7.662500193027784690e+01
7.261829060517029575e+02,8.682999999999999829e+01,4.442119820557574705e+00,7.643707482854691193e+01
7.293918782951664070e+02,8.698000000000000398e+01,4.566464936491904325e+00,7.624914772681593433e+01
7.326008505386298566e+02,8.710999999999999943e+01,4.690810052426233945e+00,7.606122062508497095e+01
7.358098227820929651e+02,8.723000000000000398e+01,4.825924178918890917e+00,7.587408930608000901e+01
7.390187950255564147e+02,8.732999999999999829e+01,4.981236274500613348e+00,7.568845052854983635e+01
7.422277672690197505e+02,8.740999999999999659e+01,5.136548370082330450e+00,7.550281175101967790e+01
7.454367395124830864e+02,8.748000000000000398e+01,5.291860465664046664e+00,7.531717297348950524e+01
7.486457117559463086e+02,8.754000000000000625e+01,5.447172561245758438e+00,7.513153419595934679e+01
7.518546839994097581e+02,8.759000000000000341e+01,5.611334361774474644e+00,7.494669632179218866e+01
7.550743885915134115e+02,8.764000000000000057e+01,5.801319388182779591e+00,7.476352758939412979e+01
7.582833608349766337e+02,8.768000000000000682e+01,5.990671131169718500e+00,7.458096941943740887e+01
7.614923330784399695e+02,8.771999999999999886e+01,6.180022874156663626e+00,7.439841124948068796e+01
7.647013053219034191e+02,8.776000000000000512e+01,6.369374617143614969e+00,7.421585307952395283e+01
7.679102775653666413e+02,8.781000000000000227e+01,6.565241470568947690e+00,7.403397479941621384e+01
7.711192498088300908e+02,8.785999999999999943e+01,6.791705529112061157e+00,7.385528951647458484e+01
7.743282220522933130e+02,8.790999999999999659e+01,7.018169587655159525e+00,7.367660423353297006e+01
7.775371942957566489e+02,8.796999999999999886e+01,7.244633646198265886e+00,7.349791895059135527e+01
7.807461665392199848e+02,8.803000000000000114e+01,7.471097704741371359e+00,7.331923366764972627e+01
7.839551387826833206e+02,8.809999999999999432e+01,7.701089023783511678e+00,7.314095787242430902e+01
7.871641110261466565e+02,8.815999999999999659e+01,7.967738066426809596e+00,7.296693775593944054e+01
7.903730832696099924e+02,8.823000000000000398e+01,8.234387109070107513e+00,7.279291763945458626e+01
7.935820555130734419e+02,8.829999999999999716e+01,8.501036151713414313e+00,7.261889752296971778e+01
7.967910277565365504e+02,8.835999999999999943e+01,8.767685194356692691e+00,7.244487740648486351e+01
8.000000000000000000e+02,8.843000000000000682e+01,9.034334236999999490e+00,7.227085728999999503e+01
